단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
051630,KR7051630002,진양화학,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3250,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7268,500,20010129,15800,7900000000,12.0,,0,,N,N,Y,291,-11,-12,-11,-3.7,20221231.0,513,,N,N,N
051900,KR7051900009,LG생활건강,ST,1.0,0,8,0,Y,N,N,7,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,340000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,36401,5000,20010425,15618,78090985000,12.0,,0,,N,Y,Y,52376,4323,3866,2840,6.5,20230930.0,53101,282,N,N,N
051905,KR7051901007,LG생활건강우,ST,0.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,145100,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,3717,5000,20010425,2099,10498485000,12.0,,1,,N,N,N,0,0,0,0,0.0,,3046,,N,N,N
051910,KR7051910008,LG화학,ST,1.0,0,8,0,Y,N,N,4,Y,Y,Y,,Y,Y,N,N,N,N,N,Y,N,0,N,N,,N,N,N,N,Y,506000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,159379,5000,20010425,70592,352961715000,12.0,,0,,N,Y,Y,421150,18550,22803,19249,5.91,20230930.0,357197,282,N,N,N
051915,KR7051911006,LG화학우,ST,0.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,308500,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,21135,5000,20010425,7688,38444000000,12.0,,1,,N,N,N,0,0,0,0,0.0,,23719,,N,N,N
052690,KR7052690005,한전기술,ST,1.0,0,26,0,N,N,N,1,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,,N,N,N,N,N,60600,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,92858,200,20091214,38220,7644000000,12.0,,0,,N,Y,Y,3479,264,335,254,6.17,20230930.0,23161,,N,N,N
053210,KR7053210001,스카이라이프,ST,3.0,0,26,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,Y,N,,N,N,N,N,N,6070,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,47737,2500,20110603,47821,119554915000,12.0,,0,,N,N,Y,7766,404,390,266,4.94,20230930.0,2902,905,N,N,N
053690,KR7053690004,한미글로벌,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,22950,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,128985,500,20090623,10957,5478775000,12.0,,0,,N,N,Y,3086,220,201,159,10.47,20230930.0,2514,,N,N,N
055490,KR7055490007,테이팩스,ST,3.0,0,8,0,Y,N,,0,N,N,N,,N,N,,,,,N,,,0,,,,,,,,,29300,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,12181,500,20171031,4764,3795325000,12.0,,0,,N,N,Y,1108,70,80,69,6.17,20230930.0,1396,,N,N,N
055550,KR7055550008,신한지주,ST,1.0,0,21,0,N,N,Y,6,Y,Y,Y,,Y,Y,N,N,N,Y,N,N,N,0,N,N,,N,N,N,N,Y,36750,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,601759,5000,20010910,515504,2695586060000,12.0,,0,,N,Y,Y,187845,34922,35852,26831,10.33,20230630.0,189447,,N,N,N
